NO,CH4,H2O2,HCHO,CH3OH,SO2,O3,CO,NO2
7.91e-10,2.047796933578882e-6,5.219844963620848e-10,9.17314640798221e-9,7.220147727272725e-10,2.4e-10,6.717e-9,1.5224999999999987e-7,3.818e-9
8.369999999999999e-10,2.0419643899511477e-6,4.1709466526064854e-10,8.954600033222615e-9,7.196009988925799e-10,8.5e-11,6.799000000000001e-9,1.4890340909090886e-7,3.7709999999999995e-9
1.6989999999999998e-9,2.0365792572073907e-6,4.789747539355124e-10,8.703278792912526e-9,7.184855448504962e-10,5.1e-11,6.908e-9,1.463587786259541e-7,3.319e-9
7.699999999999998e-10,2.0321560171884583e-6,4.0043038249419007e-10,8.42747527131782e-9,7.157400155038774e-10,1.7699999999999998e-10,7.228999999999999e-9,1.457499999999998e-7,3.485e-9
8.369999999999999e-10,2.0284987531000644e-6,4.761409480897865e-10,8.73267075388022e-9,7.23281055432374e-10,1.41e-10,7.572e-9,1.4519999999999982e-7,3.3739999999999997e-9
8.420000000000001e-10,2.0258059248205793e-6,3.6451445380820635e-10,8.582718648947969e-9,7.2079956810631e-10,NaN,7.514e-9,1.454220779220779e-7,3.48e-9
6.62e-10,2.02421830914672e-6,5.345753565950608e-10,8.897195526024344e-9,7.223970011074231e-10,NaN,7.622e-9,1.4471666666666656e-7,3.5589999999999994e-9
4.835e-9,2.0228522398538658e-6,4.237173506316779e-10,9.00194937915743e-9,7.221446019955698e-10,7.699999999999999e-11,7.521e-9,1.4405487804878037e-7,3.6250000000000006e-9
8.21e-10,2.021257500014459e-6,4.534528310576628e-10,8.678268316721975e-9,7.255461517164972e-10,9.199999999999998e-11,7.832e-9,1.423176470588234e-7,3.6860000000000003e-9
1.0529999999999998e-9,2.0202594310620022e-6,4.328098739641486e-10,8.354628128460648e-9,7.240847176079699e-10,NaN,8.059e-9,1.4201111111111094e-7,3.701e-9
6.589999999999999e-10,2.0192156028872786e-6,4.5526028729765883e-10,8.447858560354339e-9,7.231706035437386e-10,NaN,8.323e-9,1.4128030303030302e-7,3.635e-9
4.76e-10,2.019004849545174e-6,6.404452838429111e-10,8.472404369469036e-9,7.276059446902632e-10,NaN,9.037e-9,1.4132954545454538e-7,3.772e-9
3.77e-10,2.0208216166298777e-6,5.642794115097742e-10,8.648386973392485e-9,7.335039933481125e-10,NaN,9.63e-9,1.4348888888888867e-7,3.8219999999999994e-9
4.07e-10,2.0226338027385394e-6,5.538899626608107e-10,8.35288317477875e-9,7.411084314159233e-10,NaN,9.920999999999998e-9,1.457365269461077e-7,3.9630000000000005e-9
4.119999999999999e-10,2.0251819323654856e-6,5.73096289834568e-10,8.018252378318564e-9,7.398742157079711e-10,NaN,1.0042e-8,1.4648701298701292e-7,4.0090000000000005e-9
