O,O3,NO,NO2,NO3,O1D,N2O5,OH,HO2,H2,CO,H2O2,HONO,HNO3,HO2NO2,SO2,SO3,HSO3,NA,SA,CL,CH4,CH3O2,CH3OOH,HCHO,CH3NO3,CH3O,CH3O2NO2,CH3OH,times
3.3348869502621137e-17,3.953310404403431e-9,8.776236005450873e-10,3.881049422398862e-9,2.2110640914065145e-14,2.301941417805388e-21,5.038572309184116e-14,2.817238637832214e-13,3.650484303841348e-12,4.0462682641143e-9,1.7423005698641146e-7,3.024534626833566e-10,1.5798783889485535e-11,5.825484160854517e-11,3.677576729599244e-12,2.9499347223615755e-10,2.595263836107425e-18,4.2198768045722805e-22,2.7346708109793708e-12,5.084289177805467e-13,0.0,2.0370950618410026e-6,4.926785034619853e-13,1.9801524966568398e-14,6.671421875837545e-9,1.8876177329622293e-14,0.0,1.9094492920084026e-13,7.15110149780678e-10,225.0
3.676219117843821e-17,4.41946847418967e-9,8.144611379361792e-10,3.832989984758735e-9,2.656932380018297e-14,2.5766497443501807e-21,5.959809693774213e-14,3.137747899412327e-13,4.45000768705537e-12,4.04770725684173e-9,1.702456421537889e-7,3.0699152618595036e-10,1.6612427417180823e-11,6.244860749421625e-11,4.4286047894517366e-12,4.2433364590989275e-10,5.020043404736738e-18,9.842449419745015e-22,2.7417707457791404e-12,5.52125692479214e-13,6.196028785096847e-146,2.0371562641728687e-6,5.951377806225337e-13,2.385453899801162e-14,6.929139086248943e-9,2.0195750641798656e-14,9.319746079082778e-18,2.2583154943416635e-13,7.176568785979438e-10,240.0
3.9454878448313874e-17,4.786274885538546e-9,7.622174213703854e-10,3.768794379483773e-9,3.043417810636359e-14,2.7957929591150108e-21,6.819514710995649e-14,3.407289729459269e-13,5.280714816413646e-12,4.048574555454107e-9,1.6740437267600668e-7,3.1446887402337226e-10,1.7439696373265732e-11,6.693307245941374e-11,5.215359986999515e-12,3.0124249949087944e-10,3.863555351455536e-18,6.445189095365022e-22,2.7489987427970823e-12,5.828494693457131e-13,0.0,2.039956684743257e-6,6.961362084315777e-13,2.95841588898703e-14,7.254615488059138e-9,2.1648086381740907e-14,1.0169108505080125e-17,2.5761837871062417e-13,7.17765619028307e-10,255.0
4.429782161339357e-17,5.440031554426261e-9,7.562664479455471e-10,3.7408732382106955e-9,3.4797675988909584e-14,3.1846572728962487e-21,7.745937043475867e-14,3.8203506892137814e-13,6.146187065380424e-12,4.048650015395394e-9,1.6540546776061438e-7,3.16610443000646e-10,1.8385925193973033e-11,7.197749205472594e-11,6.059718428938842e-12,6.540873217424991e-11,1.5050383984741192e-18,2.747539354177768e-22,2.7562356572239604e-12,5.88789655856369e-13,0.0,2.0434727584170207e-6,7.94312296130036e-13,3.7252337153900055e-14,7.62106955414589e-9,2.3309616288358837e-14,1.1538665914701847e-17,2.908301478146281e-13,7.211201714408218e-10,270.0
4.817750656263865e-17,5.962952853363058e-9,7.931112196203973e-10,3.657508588603378e-9,3.608354982274067e-14,3.498447499195073e-21,8.198321153810226e-14,4.304093887796241e-13,6.873003455180863e-12,4.0491501420324725e-9,1.632828680461931e-7,3.2028356164090816e-10,1.9536615717002454e-11,7.75756128724444e-11,6.737819624412102e-12,1.059893610445111e-10,2.389453234980391e-18,4.354546842803868e-22,2.764315092025885e-12,6.051307376672566e-13,1.6782613269886572e-163,2.0476852862930345e-6,8.696121089229536e-13,4.6664050225819843e-14,7.89994115823992e-9,2.525271170670936e-14,1.3292041283402352e-17,3.066186873984642e-13,7.224143549769686e-10,285.0
5.078341964694979e-17,6.306643872449647e-9,8.483740103274437e-10,3.638179011665415e-9,3.558237060097986e-14,3.7071856232949895e-21,8.301763250373193e-14,4.675228503878091e-13,7.263206755505372e-12,4.049047323137183e-9,1.6221824768959594e-7,3.216014296562057e-10,2.0892747857879515e-11,8.365428022784922e-11,7.2395985312525976e-12,1.7222426053259593e-10,4.586754280920038e-18,1.357537403049501e-21,2.7725530294650907e-12,6.327025229428463e-13,0.0,2.0514948815259754e-6,8.980878932230866e-13,5.709865978460332e-14,8.165318916776804e-9,2.7434605415918743e-14,1.4996465491789147e-17,3.132186539672789e-13,7.244290005718412e-10,300.0
5.3396018337351327e-17,6.637249841504378e-9,7.997684195652125e-10,3.6802931985396822e-9,4.011841458515701e-14,3.908289666977825e-21,8.93095394553791e-14,4.740954509162057e-13,7.886714998963216e-12,4.0499280085402826e-9,1.6111122599386962e-7,3.2614312440679304e-10,2.2143587183736744e-11,8.983073641335487e-11,7.86315198950461e-12,2.7832521826981404e-10,6.216363808196506e-18,1.0932860037464968e-21,2.7820581552023648e-12,6.7921398528896e-13,0.0,2.053789962484151e-6,9.630299029142501e-13,6.93663814731006e-14,8.402368551067196e-9,2.95941854035626e-14,1.4752441316786012e-17,3.3616991045067384e-13,7.224955807257321e-10,315.0
5.4526221325269654e-17,6.771368192495938e-9,7.310508524211947e-10,3.687654687479675e-9,4.4660210652333956e-14,3.99348747963208e-21,9.72370898832194e-14,4.731554517033522e-13,8.60659607804507e-12,4.051476640042116e-9,1.5911661309359392e-7,3.272158987945596e-10,2.3247889484430093e-11,9.594532563471786e-11,8.51206786181904e-12,1.4666814856724199e-10,2.6461868953390596e-18,4.29214314980451e-22,2.7926403711763596e-12,6.959449337680258e-13,0.0,2.0555497290447347e-6,1.0451390218658956e-12,8.384310016694382e-14,8.601834589581817e-9,3.171884166471271e-14,1.4710203474727837e-17,3.6163189867299144e-13,7.2204792024326e-10,330.0
5.652831576405431e-17,7.01820563512125e-9,6.963335515816551e-10,3.7478510087595345e-9,4.9222437146738655e-14,4.145917356479978e-21,1.0707157726890474e-13,4.796298235432089e-13,9.169728724050408e-12,4.051871440799782e-9,1.588803385881716e-7,3.325007325025193e-10,2.4336121832454632e-11,1.0234341180601769e-10,9.1940410869085e-12,1.325827844960341e-10,3.3392324607690673e-18,6.721265729622581e-22,2.8031516872953665e-12,7.163766566699184e-13,5.821275768456671e-185,2.0567391169579127e-6,1.1163049713048716e-12,1.0028624529495871e-13,8.62104927386678e-9,3.390330315512049e-14,1.4995735534230454e-17,3.9061814014871395e-13,7.245565885126692e-10,345.0
5.769877002819629e-17,7.15624721486152e-9,7.318812281011991e-10,3.799627963896528e-9,4.858111350905823e-14,4.233022261266042e-21,1.1152219189569301e-13,4.98080347516451e-13,9.337140217087604e-12,4.051836806920434e-9,1.5777271045436218e-7,3.3417998686967284e-10,2.556585887867863e-11,1.0911552855997388e-10,9.648441057504803e-12,3.334998324848803e-11,2.172216604624565e-18,9.398047292691062e-22,2.8140179133097244e-12,7.19341590871917e-13,0.0,2.05770092701638e-6,1.1200877622352413e-12,1.169432137023965e-13,8.849453082686287e-9,3.626875042111732e-14,1.608872027854976e-17,3.955944689131765e-13,7.241843781367943e-10,360.0
5.643225514885929e-17,6.962769016914628e-9,7.800166490300321e-10,3.839880922945816e-9,4.507833083587011e-14,4.12685236429579e-21,1.0956149026227754e-13,5.017040007337176e-13,9.093295374733534e-12,4.052563452997098e-9,1.5495708228725225e-7,3.3639552109628195e-10,2.691185938383526e-11,1.1608522956623919e-10,9.751617317568499e-12,3.335111003617807e-11,1.2579820035374706e-18,3.443399306415996e-22,2.8260065581194337e-12,7.251506833643598e-13,1.3510908727253355e-194,2.0542004412653657e-6,1.074251055037777e-12,1.32516208509635e-13,8.994619336061028e-9,3.874235246613444e-14,1.3808691041083555e-17,3.817245093048386e-13,7.218801261966756e-10,375.0
5.502170158336606e-17,6.759660032494692e-9,7.742642013465752e-10,3.835547149093555e-9,4.477005973367948e-14,4.01437739656489e-21,1.0801785411695105e-13,4.856563915139716e-13,9.014892382104437e-12,4.052752613973069e-9,1.5270316084573665e-7,3.4026723239510247e-10,2.816549937523716e-11,1.227607475414611e-10,9.723399527628366e-12,5.2000282160495576e-11,1.485516497277908e-18,3.0842990733628736e-22,2.8382114433828797e-12,7.365910710966639e-13,2.6395724294697986e-198,2.048104624943215e-6,1.0521448737538593e-12,1.480191382836066e-13,9.105108346066493e-9,4.110319716519286e-14,1.5570027078758862e-17,3.715378067501038e-13,7.219481581034684e-10,390.0
5.503014644369494e-17,6.76961885676278e-9,8.035767157675745e-10,3.798953375988112e-9,4.264479608841106e-14,4.024570942387564e-21,1.0457883187259558e-13,4.914574298184816e-13,8.750807314929744e-12,4.050787711561547e-9,1.4951907282933234e-7,3.4240585741270526e-10,2.949774197259468e-11,1.2949464738597316e-10,9.538746455449033e-12,7.229876994635562e-11,2.079476038756434e-18,4.236063368973072e-22,2.849498382642777e-12,7.507479068372462e-13,3.9288527943728324e-202,2.0422041976254254e-6,1.024272750706535e-12,1.6255213353184332e-13,8.998160665313273e-9,4.350447800457288e-14,1.5729584775010506e-17,3.6268940423862946e-13,7.201879823667835e-10,405.0
