NO,CH4,H2O2,HCHO,CH3OH,SO2,O3,CO,NO2
9.530408663543051e-11,1.0371628781375518e-7,6.282935218370442e-10,1.4131330010077204e-9,1.0895724621850392e-10,3.4594481740764536e-12,9.119000489198472e-10,1.6169389814862287e-8,4.713084909392774e-10
1.0225328349661672e-10,1.0354105867908627e-7,6.063714574045216e-10,1.4780793981508917e-9,1.0874102540245314e-10,NaN,8.741979367635633e-10,1.5791530316732207e-8,4.756514995661795e-10
9.81582339403724e-11,1.0324059859824923e-7,6.718084511655836e-10,1.4877446281503776e-9,1.0872445307036972e-10,2.5945857286561395e-11,8.469623798603155e-10,1.554820744694455e-8,4.737903124960074e-10
1.0386653472955628e-10,1.0295377510515283e-7,5.472955677820195e-10,1.4488586960807888e-9,1.0849429241490772e-10,9.189155897193919e-12,8.573018236143263e-10,1.524412306037818e-8,4.679578285127321e-10
2.108353572110663e-10,1.0269240547864828e-7,5.911895547984222e-10,1.4507060456274365e-9,1.0820952144771292e-10,5.513491540919636e-12,8.710456567769995e-10,1.49964347381145e-8,4.1186730464009954e-10
9.555228976839253e-11,1.0247553265495945e-7,6.104373921031532e-10,1.3756864482447386e-9,1.0820268231947448e-10,1.9135076778266165e-11,9.115219141541525e-10,1.4896926861309427e-8,4.324671816140882e-10
1.0386668357642421e-10,1.0229639098346774e-7,6.074864972536514e-10,1.4977028137625592e-9,1.089101996991943e-10,1.5243216800081105e-11,9.547725280988843e-10,1.4856756923973028e-8,4.1869317847891916e-10
1.0448703618677701e-10,1.0216480761994585e-7,6.649986939158938e-10,1.3903303500547157e-9,1.0865249374849001e-10,NaN,9.474581309213592e-10,1.4932684086674278e-8,4.318466578740902e-10
8.215032557639163e-11,1.0209206551756967e-7,5.919281875062553e-10,1.4669909163226533e-9,1.0862316025627879e-10,NaN,9.610782095516437e-10,1.48090126607119e-8,4.4165107058365226e-10
5.999947425313046e-10,1.0202750700785617e-7,5.825405228668124e-10,1.4951453489297337e-9,1.0881768724032225e-10,8.324313911261743e-12,9.483421470844097e-10,1.4807741420655917e-8,4.498409393331912e-10
1.0188212558523457e-10,1.0195820385711923e-7,5.808192287439576e-10,1.3872591209870761e-9,1.0961582927303232e-10,9.946050389690334e-12,9.87565464653688e-10,1.4632266942206731e-8,4.574147562815768e-10
1.306715570735324e-10,1.0190917125745994e-7,6.133729070224459e-10,1.3742828243014805e-9,1.0910580819896216e-10,NaN,1.0161838618470248e-9,1.4527543117173867e-8,4.592739152223583e-10
8.17783594226673e-11,1.0186102217238893e-7,5.97080116403896e-10,1.407312259398309e-9,1.089739027025789e-10,NaN,1.049473091404722e-9,1.4493424976889976e-8,4.510839704118295e-10
5.90690096689853e-11,1.0185430353972069e-7,5.621660935278646e-10,1.3565577086301455e-9,1.0970221976315842e-10,NaN,1.1395029680565642e-9,1.4503488894788993e-8,4.680846732592699e-10
4.6783918816627906e-11,1.0195415693050821e-7,5.901831699535872e-10,1.4602104669636089e-9,1.1045075378702604e-10,NaN,1.2142829492627397e-9,1.4742958085147911e-8,4.74292142485814e-10
5.0506532885816425e-11,1.0204575120342134e-7,5.649084468981257e-10,1.4073244379557619e-9,1.117367498042799e-10,NaN,1.2509703765799644e-9,1.4983160215287314e-8,4.917871985908855e-10
5.1127032737654106e-11,1.0217795291737574e-7,5.014156396463429e-10,1.3756635776346262e-9,1.1133059677953311e-10,NaN,1.2662282856665028e-9,1.5056552034635326e-8,4.974958112748916e-10
