O,O3,NO,NO2,NO3,O1D,N2O5,OH,HO2,H2,CO,H2O2,HONO,HNO3,HO2NO2,SO2,SO3,HSO3,NA,SA,CL,CH4,CH3O2,CH3OOH,HCHO,CH3NO3,CH3O,CH3O2NO2,CH3OH,times
2.6406607368520322e-18,2.0866615153636117e-10,2.3261679647340873e-10,9.616335460094884e-10,2.939953654085915e-14,1.211076595974004e-22,4.557331361598592e-13,3.8585962957311294e-14,6.429499109168392e-13,4.045226187299417e-9,3.848935661186805e-8,1.54190283273921e-10,4.034383870514265e-12,1.7135269543539625e-11,7.986071476062811e-13,9.960487300923715e-11,1.3356682408727457e-18,1.8312501217855655e-22,2.6670831233915794e-12,1.9262809947263434e-13,8.886839751847785e-60,4.5170487409281263e-7,8.236669934646777e-14,9.350498122876106e-15,1.4926191211776684e-9,5.9878284882913545e-15,1.573351581077275e-18,2.342910261145188e-14,1.6246475175728776e-10,-30.0
2.539023554993918e-18,1.9147477355945856e-10,2.576680631352663e-10,9.819410971096665e-10,1.7337713711963025e-14,1.1116051849946174e-22,2.705503860489662e-13,3.593021331095312e-14,5.320725882098487e-13,4.0452596701241455e-9,3.9180266881465084e-8,1.4928516757446896e-10,4.255293668282992e-12,1.8187501783065335e-11,8.768226093043818e-13,9.203298011710774e-11,1.1051709398301818e-18,3.144048676145704e-22,2.6717280796956576e-12,2.0249211357049888e-13,5.5770281692053525e-64,4.544949187637414e-7,6.598927379645554e-14,9.608607897660795e-15,1.467835307158137e-9,6.327879167944028e-15,1.5102913773793433e-18,2.8812806435374365e-14,1.6201758636279784e-10,-15.0
2.7536712017777976e-18,2.2006488604904644e-10,2.9037648163056915e-10,9.835560968963882e-10,1.1305163999715105e-14,1.2777744638700965e-22,1.6099207642162094e-13,3.0826473425439764e-14,4.356549286336276e-13,4.047017343921242e-9,3.982056786063267e-8,1.4368168818986233e-10,4.476404350638641e-12,1.91546872013703e-11,8.592034481701257e-13,9.927023938859772e-11,1.048590008485887e-18,1.8942782665039886e-22,2.676411838929486e-12,2.106396839715986e-13,5.351098697667295e-67,4.5372156948082904e-7,5.10523435317856e-14,9.773041536542663e-15,1.461388057710766e-9,6.632424164013702e-15,1.5273584162221739e-18,2.3638846287832288e-14,1.6099560070912514e-10,0.0
3.2260641305081986e-18,2.899244026319733e-10,3.1160495381447393e-10,9.678821740399961e-10,6.6390840240727254e-15,1.6810981757485453e-22,9.997064449288325e-14,3.051827573993059e-14,3.8452633791688326e-13,4.0414347412824494e-9,3.922209468372182e-8,1.3995845160505118e-10,4.733366217721034e-12,2.0121800635085773e-11,7.381028811017307e-13,8.805042227278035e-11,1.0553795278831563e-18,2.147026541624307e-22,2.6761422402652046e-12,2.1936821368571543e-13,7.168292931009742e-71,4.5324475893387045e-7,4.311196233603151e-14,9.882136853757135e-15,1.4109970546654991e-9,6.927252060868773e-15,9.45446409012926e-19,1.554090011942868e-14,1.602537054372692e-10,15.0
3.3209495532133946e-18,3.060035201769398e-10,3.302924835758518e-10,9.548799774615686e-10,4.305891668436536e-15,1.7737295814068006e-22,6.491935606631705e-14,2.5034404663552386e-14,2.9685918083174856e-13,4.039394980168747e-9,3.956819884371596e-8,1.3689785376788738e-10,5.074565997312961e-12,2.126559419532239e-11,5.720094211059026e-13,1.061512736538074e-10,9.14030088285299e-19,2.545217925971672e-22,2.6780601168125333e-12,2.286009817977223e-13,1.3553627742938656e-76,4.5323075319136695e-7,3.3111267611856784e-14,1.000479973351947e-14,1.4049997102386792e-9,7.272044926133908e-15,8.354299639377124e-19,1.255161609339216e-14,1.5999433337782555e-10,30.0
3.039871164137089e-18,2.6969872115943466e-10,3.5059138019886655e-10,9.402022639539374e-10,2.8367821022725792e-15,1.5630636799039649e-22,4.3103883045429776e-14,2.3084579061410263e-14,2.383333134084264e-13,4.038906261909607e-9,3.9844140413053606e-8,1.3417976670883059e-10,5.452784739971043e-12,2.2438563354093473e-11,4.601420774374272e-13,1.180122416693691e-10,6.054485562393985e-19,1.3736016399917898e-22,2.6808980822203127e-12,2.403915022204288e-13,5.583791134362357e-79,4.529532929832145e-7,2.8050470005511508e-14,1.0120531128419554e-14,1.3759722137367527e-9,7.629353027574576e-15,8.078334798354957e-19,1.1369332641687023e-14,1.5970031657962368e-10,45.0
3.3109138436645484e-18,3.0979896649623024e-10,3.680712451190272e-10,9.237141729547773e-10,1.8627296183450454e-15,1.7961967270238792e-22,3.0924659433931006e-14,2.488502386714819e-14,2.311864587589393e-13,4.03848424095824e-9,3.9557085235188365e-8,1.316611282043194e-10,5.813802462791175e-12,2.3484790736880373e-11,4.4155286903654756e-13,1.0790386238682671e-10,5.131115178522584e-19,2.369713167115455e-22,2.6838132057995142e-12,2.524048899417495e-13,4.620861582070449e-83,4.5259088589696113e-7,2.832115346293112e-14,1.0204849806508727e-14,1.3515799364646569e-9,7.956093661285567e-15,1.3015898843857527e-18,1.2019187489258696e-14,1.6013008790369492e-10,60.0
2.9474180275168596e-18,2.6029678530400906e-10,3.556644945982383e-10,9.177951862005161e-10,1.5025850347785963e-15,1.5091495506657312e-22,2.2213682381759564e-14,2.1900435637808233e-14,1.8133248622299966e-13,4.038722458886822e-9,4.12805452874783e-8,1.291243647412185e-10,6.239293512894499e-12,2.4624132219998967e-11,3.5975858513387234e-13,8.995536897478822e-11,5.970926863699801e-19,9.049752541486129e-23,2.687224601270919e-12,2.644985541902228e-13,1.954500830808774e-87,4.5238547106356736e-7,2.2946571120845518e-14,1.0294347094329511e-14,1.3577041786260176e-9,8.31449717105563e-15,7.754825067940948e-19,9.820170003827038e-15,1.597162162071293e-10,75.0
3.4255227629518277e-18,3.2509514786037415e-10,3.48442102278861e-10,9.224984082185348e-10,1.2175891321115015e-15,1.8852542407446986e-22,1.5887196932159116e-14,2.504281314936269e-14,2.0333741668707958e-13,4.039767207731935e-9,4.3943109947692454e-8,1.2728123015726955e-10,6.582781218789214e-12,2.561231452580198e-11,3.3801476137875513e-13,6.208783296245541e-11,3.759647403891882e-19,7.317590605325243e-23,2.6912821804595034e-12,2.732154169639633e-13,1.551182708647087e-92,4.5262308500212077e-7,2.605725890188211e-14,1.0372022289734761e-14,1.3533731143244093e-9,8.630231377702942e-15,9.652620417467803e-19,1.104072997922579e-14,1.600767204717428e-10,90.0
3.4508594863610098e-18,3.262769315715703e-10,3.5036430992104415e-10,9.336039663976876e-10,1.1767937486832078e-15,1.892709354986947e-22,1.1057858021580047e-14,2.526547264824532e-14,2.1322076855464153e-13,4.0408656545072226e-9,4.494627904781175e-8,1.2516450911462862e-10,6.978944539375224e-12,2.6773830340313002e-11,2.860520094642451e-13,7.81501976698088e-11,3.897754541409854e-19,8.866410102309444e-23,2.6954790799001558e-12,2.801351032695594e-13,4.0255069529002335e-96,4.542933271766308e-7,2.7407814377322643e-14,1.0478959485006576e-14,1.3285123454856243e-9,8.993176451181107e-15,8.190475910723011e-19,1.1321666807380582e-14,1.5968382161756892e-10,105.0
3.3311900198137334e-18,3.077808181675409e-10,3.5629245800293243e-10,9.421782947920345e-10,1.0979197717063284e-15,1.7869028614991963e-22,7.860568351733894e-15,2.421229115529086e-14,1.9915722100815424e-13,4.042233873874122e-9,4.4631339518354216e-8,1.2358883108010597e-10,7.375673142196215e-12,2.7957967760145656e-11,2.6533151245238254e-13,8.350844771539933e-11,4.063650780536931e-19,9.320583128876386e-23,2.699986372348964e-12,2.8899943688266786e-13,9.524991551970593e-103,4.551595825597101e-7,2.5315612517148663e-14,1.0588860068876429e-14,1.3650951667459087e-9,9.36267222218423e-15,7.91412229657845e-19,1.083736363004219e-14,1.6069165028586695e-10,120.0
3.85220814033302e-18,3.7786890676638784e-10,3.4372705372040145e-10,9.539836215407989e-10,1.3728351811715008e-15,2.194030118336668e-22,5.9974036069066635e-15,2.772873182270017e-14,2.2690139335088126e-13,4.041988460271327e-9,4.317002272546089e-8,1.2192541212570785e-10,7.750001122485984e-12,2.908232618813251e-11,2.8496912756696737e-13,5.674376963276493e-11,3.8911835773953817e-19,6.747437859830896e-23,2.703609745203044e-12,2.979214683414964e-13,3.8912616712360844e-107,4.5536779001198103e-7,2.933898879399009e-14,1.068354024649855e-14,1.3794569243007679e-9,9.712551947034849e-15,8.209018035667509e-19,1.27210260126991e-14,1.606886412708282e-10,135.0
4.381153419913735e-18,4.495452884037178e-10,3.239926939650794e-10,9.564377241178358e-10,1.7187070645231472e-15,2.61208448796269e-22,5.3213709037051485e-15,3.201869732743273e-14,2.6875187375370167e-13,4.043375986012471e-9,4.216058850970355e-8,1.2002303491414529e-10,8.17841036757101e-12,3.0429973610612097e-11,3.568523555967248e-13,8.189898184917815e-11,4.677854652855799e-19,1.0061697960827208e-22,2.708535118470777e-12,3.050077080142345e-13,5.040541911598314e-114,4.555592524690536e-7,3.5560966112576016e-14,1.0822164979731464e-14,1.3665963639193746e-9,1.012044742872363e-14,1.2012278704947446e-18,1.5343580645961753e-14,1.6022450761438893e-10,150.0
5.0156126002096084e-18,5.403160647907993e-10,2.9661421686585376e-10,9.360036700145769e-10,2.1858501816996266e-15,3.140021005062457e-22,7.324586643182642e-15,3.800054125961382e-14,3.400977520246681e-13,4.043507067086216e-9,4.11127059711308e-8,1.1807755307179855e-10,8.64713876738622e-12,3.200117921958493e-11,5.179041118130875e-13,5.6467235610957126e-11,9.548069112431106e-19,1.8042988901442899e-22,2.712870034414163e-12,3.170016049484909e-13,2.2824046721279822e-118,4.5525608148759434e-7,4.530480232739376e-14,1.1025487532398836e-14,1.41529172739218e-9,1.0589516521982951e-14,1.862216219423552e-18,2.0831301730428505e-14,1.60015018168386e-10,165.0
5.472379887639976e-18,6.058810528615848e-10,2.619251901066506e-10,9.164391204277112e-10,2.6995331654717354e-15,3.5208250250682712e-22,9.921074147279045e-15,4.310454869393654e-14,5.254350667347664e-13,4.04459552528459e-9,4.079636575025755e-8,1.1636470701420517e-10,9.162321827494227e-12,3.385907500758094e-11,7.414414850337005e-13,3.4833496234276335e-11,8.181999465311786e-19,1.0789066356617314e-22,2.7181284926463387e-12,3.268295305291446e-13,3.690001632158126e-123,4.554804864606479e-7,6.854217565855124e-14,1.1378846155782444e-14,1.4185675955695349e-9,1.1148952798980231e-14,1.2714716688552396e-18,2.8394009848359717e-14,1.5978131543551396e-10,180.0
5.968766557529684e-18,6.764775405116737e-10,2.458236262193926e-10,9.038466895618856e-10,3.3502815808057912e-15,3.9314758252825593e-22,1.251156310973016e-14,4.871538212304021e-14,6.954951082134066e-13,4.043745017806291e-9,4.053147474652994e-8,1.148558704495283e-10,9.664081324998394e-12,3.591357339266093e-11,9.819092393002768e-13,5.3321514556543735e-11,1.0088464041037765e-18,1.747235640604609e-22,2.7224121766400164e-12,3.3348322209008054e-13,2.016954307785581e-129,4.556170331187547e-7,9.150743390469688e-14,1.1969606785363129e-14,1.401089365108886e-9,1.1775199598561447e-14,2.062571253875505e-18,3.8703714058389574e-14,1.6004438061636688e-10,195.0
6.889243007156103e-18,8.048216732055191e-10,2.249888939484986e-10,8.838333981482529e-10,4.037976770383045e-15,4.681628631224667e-22,1.4459545092584508e-14,5.755316626314865e-14,8.194602763137548e-13,4.045358341175208e-9,3.986725316699413e-8,1.13351521196531e-10,1.0203478847334597e-11,3.82467244501392e-11,1.1686554319030322e-12,5.1775044135181226e-11,1.2261435554050703e-18,2.7977914725010454e-22,2.728748536154607e-12,3.4558315412920436e-13,5.90265846524835e-134,4.556122951083967e-7,1.0786660662384195e-13,1.2878926916851388e-14,1.4213613889226617e-9,1.24985706589295e-14,2.0750629946209395e-18,4.326062672940715e-14,1.5986289590188909e-10,210.0
7.45859029924579e-18,8.840907613625898e-10,1.9626550025743874e-10,8.679306520912965e-10,5.1747128273856585e-15,5.148239456573953e-22,1.8071086540766803e-14,6.294035326508141e-14,1.1067001613601417e-12,4.0462919179754055e-9,3.896358080640572e-8,1.1207152725800407e-10,1.0783936758750484e-11,4.0949317735165e-11,1.4782472437262954e-12,6.59702593801183e-11,1.7232540593646358e-18,3.61396907856866e-22,2.7350176757706614e-12,3.594607202328484e-13,4.139931470173074e-138,4.5556156883643864e-7,1.475097338876299e-13,1.4447418957910505e-14,1.4919497284397031e-9,1.334613100934691e-14,1.3016217522940658e-17,5.787003628694868e-14,1.5992218918731316e-10,225.0
8.221238023963939e-18,9.883389132450114e-10,1.821405663898622e-10,8.571827411061345e-10,6.8938127113472e-15,5.76223843278006e-22,2.2199080376613557e-14,7.015428063123886e-14,1.4346996319259365e-12,4.047730912979153e-9,3.8072533182074715e-8,1.1037440159473771e-10,1.1318642689710575e-11,4.3844504941225945e-11,1.8422592889172454e-12,9.48949835414858e-11,2.7648829567090076e-18,5.659412520118608e-22,2.7421176692651244e-12,3.7916705949692327e-13,9.03916413382484e-143,4.5557524338605216e-7,1.8782731382137373e-13,1.703315642262803e-14,1.5495839223867836e-9,1.4263372274222574e-14,6.437802171906317e-18,7.188547966703861e-14,1.604917194216817e-10,240.0
8.824228641749116e-18,1.0703686059989356e-9,1.7045706208723772e-10,8.428264836336345e-10,8.016057693475268e-15,6.252792942154897e-22,2.594666973336779e-14,7.617661072033803e-14,1.7070370094508378e-12,4.0485981764905845e-9,3.743712426515481e-8,1.0879710625829215e-10,1.1864055857638706e-11,4.703142674950236e-11,2.1935692818146914e-12,6.736773244561015e-11,3.585238579762018e-18,6.447629807044824e-22,2.7493446194309325e-12,4.118176262676283e-13,7.299145652313127e-147,4.562014164277807e-7,2.2013915674256836e-13,2.098025919022388e-14,1.6223711598008565e-9,1.5286519319817832e-14,2.7440931564741064e-18,8.2873279678735e-14,1.6051600613051229e-10,255.0
9.90644659812043e-18,1.2165695263422175e-9,1.6912596311215521e-10,8.365823457762927e-10,9.23991537075804e-15,7.121938417642131e-22,2.8713080618301875e-14,8.543002553000372e-14,1.9554239769469182e-12,4.048673671735597e-9,3.6990109334452144e-8,1.0808421591874719e-10,1.2406151482060343e-11,5.040564557364613e-11,2.5055066333498672e-12,1.4627546335059415e-11,1.5066256413248223e-18,2.744668073215106e-22,2.756578486481522e-12,4.359386064443594e-13,6.41659601843474e-154,4.569877987666435e-7,2.4584415084046797e-13,2.6492790700509656e-14,1.7043222463790376e-9,1.639378953445495e-14,2.881506120034755e-18,9.3182752942481e-14,1.6126621612863048e-10,270.0
1.0774073291574533e-17,1.333512162102523e-9,1.7736577781502542e-10,8.1793918263475e-10,1.1019579221333468e-14,7.823677923555422e-22,3.181510246888554e-14,9.623375064742262e-14,2.2454586792711807e-12,4.049173762412061e-9,3.651541773738473e-8,1.0620580772536834e-10,1.3018128907261085e-11,5.417526196112976e-11,2.7917753632211733e-12,2.3702706057368298e-11,9.17192588385845e-19,9.735280436435099e-23,2.764658000504819e-12,4.414749482652703e-13,7.0043357024086e-161,4.5792975370375116e-7,2.7690561005302397e-13,3.38287533963303e-14,1.7666868427070625e-9,1.7648386216259224e-14,2.9721571453023937e-18,9.783853581677807e-14,1.6155560227824543e-10,285.0
1.1356815908372275e-17,1.410369025290184e-9,1.89721089387458e-10,8.136190245894134e-10,1.1534979249821151e-14,8.290462470968099e-22,3.0664431042458087e-14,1.0451267114267801e-13,2.320454854056465e-12,4.049070936260723e-9,3.627733306560771e-8,1.0541249132084326e-10,1.3756365521121369e-11,5.830931034971691e-11,2.883414194258385e-12,3.85150075176093e-11,1.4169656191947291e-18,1.0226643541723296e-21,2.7728797425137724e-12,4.5161157950373906e-13,0.0,4.587817003484011e-7,2.7964092978456633e-13,4.2550810739332657e-14,1.8260337788093604e-9,1.9079871311830623e-14,3.2335108075616132e-18,1.0151172637608169e-13,1.6200614156742156e-10,300.0
1.1941097702571248e-17,1.484306221001364e-9,1.788541417981644e-10,8.230347359031956e-10,1.1940161716423582e-14,8.74021449745619e-22,2.8185708848681935e-14,1.0602410219163811e-13,2.212275804583534e-12,4.0499516054406905e-9,3.60297633676808e-8,1.0387767427863992e-10,1.4628552512739784e-11,6.275459693369831e-11,2.7647011243026342e-12,6.224266566643726e-11,2.6017477472321097e-18,1.0924066367736917e-21,2.7823860457261888e-12,4.699633587710316e-13,0.0,4.5929491351588035e-7,2.60344900237512e-13,5.163016300887215e-14,1.8790456933689045e-9,2.0654833681701096e-14,3.287137285701811e-18,9.20463823823995e-14,1.6157375016716508e-10,315.0
1.21938485397597e-17,1.5142995490018714e-9,1.634866614661569e-10,8.246809752946398e-10,1.333045963696421e-14,8.930745070675952e-22,3.2430138950271314e-14,1.0581466394696788e-13,2.4254966001544285e-12,4.051500215260316e-9,3.558369770517056e-8,1.0218511181112078e-10,1.5440808906226817e-11,6.732109214027183e-11,2.8974265963034996e-12,3.27998124719804e-11,2.646293801220376e-18,4.295276050818891e-22,2.792966599460068e-12,5.012877737632673e-13,0.0,4.596883937920284e-7,2.884548647504505e-13,6.224299966807382e-14,1.923652541307901e-9,2.2245103112459892e-14,3.264254904948537e-18,1.0184406005834755e-13,1.6147361656597978e-10,330.0
1.2641575899229486e-17,1.5694994807742935e-9,1.5572196389487605e-10,8.381437024828759e-10,1.508692687659978e-14,9.271622212289572e-22,3.753991119370241e-14,1.0726055180216526e-13,2.641420002192491e-12,4.0518950085894155e-9,3.5530858838283563e-8,1.0072993367095507e-10,1.6143661558049883e-11,7.182812113809631e-11,3.123404731482927e-12,2.964986271457216e-11,2.544460852614709e-18,6.723233719680817e-22,2.803472323428432e-12,5.168569255973712e-13,0.0,4.5995438031873616e-7,3.1617220499854623e-13,7.477929682355597e-14,1.927949490887582e-9,2.3805371584870476e-14,3.353418414485598e-18,1.1433155742542395e-13,1.6203463695286923e-10,345.0
1.29033661712017e-17,1.600376021761356e-9,1.6367681215759168e-10,8.497178989003851e-10,1.7022665807278882e-14,9.466452340241753e-22,4.325448960310148e-14,1.1138860838262298e-13,2.761226050043767e-12,4.0518604124878165e-9,3.528315856273727e-8,9.942271878414519e-11,1.6800963679016254e-11,7.644624851740513e-11,3.3179903979706912e-12,7.458151214745057e-12,1.9884646237213216e-18,9.389186298194112e-22,2.8143554206819725e-12,5.309925703879237e-13,0.0,4.601694860151778e-7,3.300704177462421e-13,8.885003961082571e-14,1.9790286837078787e-9,2.5379120627489223e-14,3.598533147690046e-18,1.1998622252325801e-13,1.6195140622869496e-10,360.0
1.2620112144551723e-17,1.557104867917204e-9,1.7443872643962025e-10,8.587224415160174e-10,1.7392302338718825e-14,9.229003362429738e-22,4.248385518020051e-14,1.1366970494483217e-13,2.550862706504093e-12,4.0525870527779685e-9,3.4653488230912473e-8,9.809353917607314e-11,1.7530986484867397e-11,8.127787132957416e-11,3.1802457223643197e-12,8.170161179654503e-12,8.022104883455616e-19,2.728977201504793e-22,2.8263439843647303e-12,5.36027277762525e-13,0.0,4.593866205305574e-7,2.911206664159558e-13,1.0253989076533063e-13,2.0114922042243302e-9,2.7031931306731705e-14,6.3366679844361724e-18,1.0804608250923347e-13,1.6143608222122657e-10,375.0
1.2304640657313409e-17,1.5116790723008189e-9,1.7314793420001664e-10,8.577566714225281e-10,1.6239472925331083e-14,8.97744910310075e-22,3.694812568063326e-14,1.2821822260280236e-13,2.069959821875461e-12,4.052776197104129e-9,3.414943944901885e-8,9.703169744474045e-11,1.83170978954743e-11,8.613464297279837e-11,2.6613286719911923e-12,1.1628968517916333e-11,7.698113286131671e-19,2.64174621962703e-22,2.8385403151954277e-12,5.410197483075587e-13,0.0,4.58023427470228e-7,2.354101420125475e-13,1.1462875482921784e-13,2.036199816101868e-9,2.870293130666361e-14,5.234610658534723e-18,8.707258246097462e-14,1.6145129771162492e-10,390.0
1.2306544133928589e-17,1.5139085072841452e-9,1.7970552458754054e-10,8.495711342410274e-10,1.443067146720762e-14,9.000258914751298e-22,3.430260324312396e-14,1.2241095876235543e-13,1.9564622127200676e-12,4.050811276154169e-9,3.3437371982701036e-8,9.546235730468422e-11,1.904607706203274e-11,9.076922036577718e-11,2.3465899828107284e-12,1.6168377186105293e-11,7.958954853947553e-19,3.61689080901098e-22,2.8498268424617734e-12,5.461253915064838e-13,0.0,4.567038880668689e-7,2.2899260823315906e-13,1.2602285344105712e-13,2.0122840902123553e-9,3.029962378734639e-14,4.422192194943981e-18,8.997565591707221e-14,1.61057672234423e-10,405.0
