I,J,V
11,687,1
204,687,-1
308,687,1
9,688,1
11,688,1
204,688,-1
308,688,1
8,689,1
205,689,-1
255,689,1
8,690,1
205,690,-1
210,690,1
8,691,1
205,691,-1
313,691,1
8,692,-1
122,692,1
205,692,-1
206,693,-1
314,693,1
9,694,1
206,694,-1
219,694,1
9,695,1
206,695,-1
263,695,1
4,696,1
207,696,-1
255,696,1
2,697,-1
163,697,1
207,697,-1
315,697,1
2,698,-1
207,698,-1
316,698,1
317,698,1
8,699,-1
207,699,-1
224,699,1
9,700,-1
208,700,-1
318,700,1
3,701,-1
4,701,1
208,701,-1
319,701,1
4,702,1
5,702,-1
208,702,-1
319,702,1
208,703,-1
319,703,1
8,704,1
11,704,1
208,704,-1
320,704,1
5,705,-1
8,705,1
14,705,1
209,705,-1
321,705,1
2,706,-1
209,706,-1
322,706,1
323,706,1
2,707,-1
89,707,1
209,707,-1
324,707,1
8,708,1
209,708,-1
325,708,1
8,709,1
209,709,-1
326,709,1
8,710,1
209,710,-1
321,710,1
8,711,1
11,711,1
94,711,1
160,711,1
209,711,-1
8,712,2
11,712,1
209,712,-1
327,712,1
9,713,2
11,713,2
163,713,1
210,713,-1
9,714,1
210,714,-1
328,714,1
5,715,-1
14,715,1
210,715,-1
328,715,1
2,716,-1
163,716,1
166,716,1
210,716,-1
2,717,-1
168,717,1
210,717,-1
316,717,1
8,718,-1
9,718,1
210,718,-1
326,718,1
8,719,-1
210,719,-1
329,719,1
8,720,-1
210,720,-1
226,720,1
8,721,-1
210,721,-1
328,721,1
8,722,-1
9,722,1
210,722,1
211,722,-1
8,723,-1
9,723,1
211,723,-1
219,723,1
8,724,1
212,724,-1
214,724,1
8,725,1
212,725,-1
330,725,1
8,726,-1
103,726,1
212,726,-1
4,727,1
213,727,-1
214,727,1
2,728,-1
22,728,1
213,728,-1
331,728,1
2,729,-1
96,729,1
175,729,1
213,729,-1
8,730,-1
213,730,-1
332,730,1
8,731,-1
213,731,-1
333,731,1
9,732,1
22,732,1
38,732,1
214,732,-1
8,733,-1
214,733,1
215,733,-1
8,734,1
157,734,1
216,734,-1
8,735,1
216,735,-1
219,735,1
8,736,1
216,736,-1
334,736,1
8,737,-1
123,737,1
216,737,-1
9,738,-1
217,738,-1
335,738,1
3,739,-1
4,739,1
217,739,-1
336,739,1
4,740,1
5,740,-1
217,740,-1
336,740,1
217,741,-1
336,741,1
8,742,1
11,742,1
217,742,-1
337,742,1
5,743,-1
8,743,1
14,743,1
218,743,-1
338,743,1
2,744,-1
166,744,1
218,744,-1
339,744,1
2,745,-1
168,745,1
218,745,-1
340,745,1
8,746,1
218,746,-1
326,746,1
8,747,1
218,747,-1
338,747,1
8,748,-1
218,748,-1
341,748,1
8,749,1
9,749,1
11,749,2
163,749,1
218,749,-1
8,750,2
11,750,1
164,750,1
218,750,-1
9,751,1
11,751,1
94,751,1
160,751,1
219,751,-1
9,752,1
219,752,-1
342,752,1
5,753,-1
14,753,1
219,753,-1
342,753,1
2,754,-1
160,754,1
219,754,-1
322,754,1
2,755,-1
89,755,1
158,755,1
219,755,-1
8,756,-1
9,756,1
219,756,-1
326,756,1
8,757,-1
219,757,-1
343,757,1
8,758,-1
219,758,-1
344,758,1
8,759,-1
219,759,-1
342,759,1
8,760,1
220,760,-1
222,760,1
8,761,1
220,761,-1
223,761,1
8,762,1
220,762,-1
330,762,1
8,763,-1
105,763,1
220,763,-1
4,764,1
221,764,-1
222,764,1
2,765,-1
112,765,1
197,765,1
221,765,-1
2,766,-1
22,766,1
221,766,-1
345,766,1
8,767,-1
221,767,-1
346,767,1
9,768,1
22,768,1
37,768,1
222,768,-1
22,769,1
94,769,1
223,769,-1
266,769,1
8,770,-1
223,770,-1
347,770,1
9,771,-1
224,771,-1
348,771,1
3,772,-1
224,772,-1
349,772,1
3,773,-1
4,773,1
224,773,-1
350,773,1
4,774,1
5,774,-1
224,774,-1
350,774,1
224,775,-1
350,775,1
224,776,-1
351,776,1
8,777,1
9,777,1
225,777,-1
352,777,1
225,778,-1
353,778,1
9,779,-1
226,779,-1
354,779,1
3,780,-1
226,780,-1
355,780,1
3,781,-1
4,781,1
226,781,-1
356,781,1
4,782,1
5,782,-1
226,782,-1
356,782,1
226,783,-1
356,783,1
226,784,-1
357,784,1
9,785,-1
227,785,-1
358,785,1
8,786,1
9,786,1
37,786,1
227,786,-1
3,787,-1
4,787,1
9,787,1
37,787,1
227,787,-1
4,788,-1
227,788,-1
359,788,1
4,789,1
5,789,-1
9,789,1
37,789,1
227,789,-1
9,790,1
37,790,1
227,790,-1
8,791,-1
111,791,1
228,791,-1
8,792,1
228,792,-1
229,792,1
8,793,1
228,793,-1
229,793,1
4,794,1
22,794,1
113,794,1
229,794,-1
159,795,1
229,795,-1
296,795,1
8,796,1
9,796,-1
230,796,-1
231,796,1
9,797,-1
230,797,-1
360,797,1
3,798,-1
4,798,1
230,798,-1
231,798,1
4,799,-1
230,799,-1
361,799,1
4,800,1
5,800,-1
230,800,-1
231,800,1
230,801,-1
231,801,1
8,802,1
9,802,-1
231,802,-1
265,802,1
9,803,-1
231,803,-1
339,803,1
3,804,-1
4,804,1
231,804,-1
265,804,1
4,805,1
5,805,-1
231,805,-1
265,805,1
163,806,1
231,806,-1
231,807,-1
265,807,1
89,808,1
231,808,-1
9,809,-1
232,809,-1
362,809,1
3,810,-1
4,810,1
232,810,-1
363,810,1
4,811,1
5,811,-1
232,811,-1
363,811,1
232,812,-1
363,812,1
11,813,-1
113,813,1
233,813,-1
3,814,-1
4,814,1
113,814,1
233,814,-1
4,815,-1
5,815,1
113,815,1
233,815,-1
16,816,-1
17,816,1
113,816,1
233,816,-1
12,817,1
113,817,1
233,817,-1
233,818,-1
364,818,1
8,819,-1
115,819,1
234,819,-1
8,820,1
234,820,-1
236,820,1
8,821,1
234,821,-1
236,821,1
4,822,1
8,822,-1
22,822,1
113,822,1
235,822,-1
4,823,1
235,823,-1
236,823,1
9,824,1
22,824,1
113,824,1
236,824,-1
8,825,-1
116,825,1
237,825,-1
8,826,1
117,826,1
237,826,-1
4,827,1
8,827,-1
11,827,1
37,827,1
238,827,-1
4,828,1
116,828,1
238,828,-1
8,829,1
37,829,1
239,829,-1
8,830,1
239,830,-1
241,830,1
4,831,1
8,831,-1
37,831,1
240,831,-1
4,832,1
240,832,-1
241,832,1
9,833,1
37,833,1
241,833,-1
8,834,-1
118,834,1
242,834,-1
8,835,1
242,835,-1
243,835,1
8,836,1
242,836,-1
243,836,1
4,837,1
22,837,1
113,837,1
243,837,-1
8,838,-1
231,838,1
244,838,-1
25,839,1
94,839,1
244,839,-1
8,840,1
245,840,-1
247,840,1
8,841,1
245,841,-1
247,841,1
8,842,1
245,842,-1
249,842,1
4,843,1
246,843,-1
247,843,1
4,844,1
8,844,-1
246,844,-1
249,844,1
9,845,1
22,845,1
113,845,1
247,845,-1
8,846,1
248,846,-1
249,846,1
231,847,1
249,847,-1
266,847,1
8,848,-1
9,848,1
249,848,-1
365,848,1
8,849,1
250,849,-1
253,849,1
8,850,1
250,850,-1
252,850,1
4,851,1
8,851,-1
251,851,-1
253,851,1
4,852,1
251,852,-1
252,852,1
9,853,1
252,853,-1
253,853,1
5,854,-1
14,854,1
253,854,-1
308,854,1
8,855,-1
253,855,-1
308,855,1
8,856,-1
253,856,-1
366,856,1
8,857,-1
253,857,-1
367,857,1
253,858,-1
308,858,1
11,859,1
253,859,-1
368,859,1
9,860,1
11,860,1
22,860,1
253,860,-1
2,861,-1
96,861,1
168,861,1
253,861,-1
2,862,-1
22,862,1
253,862,-1
369,862,1
8,863,-1
9,863,1
253,863,1
254,863,-1
255,864,-1
370,864,1
9,865,-1
256,865,-1
371,865,1
3,866,-1
4,866,1
256,866,-1
372,866,1
4,867,1
5,867,-1
256,867,-1
372,867,1
256,868,-1
372,868,1
9,869,-1
258,869,-1
373,869,1
3,870,-1
258,870,-1
374,870,1
3,871,-1
4,871,1
258,871,-1
375,871,1
4,872,1
5,872,-1
258,872,-1
375,872,1
258,873,-1
376,873,1
258,874,-1
375,874,1
258,875,-1
377,875,1
9,876,-1
259,876,-1
378,876,1
3,877,-1
259,877,-1
379,877,1
3,878,-1
4,878,1
259,878,-1
380,878,1
4,879,1
5,879,-1
259,879,-1
380,879,1
259,880,-1
380,880,1
259,881,-1
381,881,1
259,882,-1
376,882,1
8,883,-1
156,883,1
260,883,-1
8,884,1
31,884,1
260,884,-1
4,885,1
156,885,1
261,885,-1
9,886,-1
262,886,-1
382,886,1
3,887,-1
262,887,-1
383,887,1
3,888,-1
4,888,1
262,888,-1
384,888,1
4,889,1
5,889,-1
262,889,-1
384,889,1
262,890,-1
384,890,1
8,891,1
11,891,1
174,891,1
262,891,-1
4,892,1
5,892,-1
263,892,-1
326,892,1
2,893,-1
263,893,-1
385,893,1
8,894,-1
9,894,1
263,894,-1
326,894,1
11,895,-1
160,895,1
264,895,-1
3,896,-1
4,896,1
160,896,1
264,896,-1
4,897,-1
5,897,1
160,897,1
264,897,-1
16,898,-1
17,898,1
160,898,1
264,898,-1
12,899,1
160,899,1
264,899,-1
264,900,-1
386,900,1
22,901,1
94,901,1
265,901,-1
8,902,1
9,902,1
22,902,1
266,902,-1
2,903,1
9,903,-1
266,903,-1
386,903,1
9,904,-1
266,904,-1
387,904,1
3,905,-1
4,905,1
9,905,1
22,905,1
266,905,-1
4,906,-1
266,906,-1
388,906,1
4,907,1
5,907,-1
9,907,1
22,907,1
266,907,-1
9,908,1
22,908,1
266,908,-1
266,909,-1
386,909,1
11,910,-1
159,910,1
267,910,-1
3,911,-1
4,911,1
159,911,1
267,911,-1
4,912,-1
5,912,1
159,912,1
267,912,-1
16,913,-1
17,913,1
159,913,1
267,913,-1
12,914,1
159,914,1
267,914,-1
8,915,1
268,915,-1
270,915,1
8,916,1
268,916,-1
271,916,1
8,917,-1
162,917,1
268,917,-1
4,918,1
8,918,-1
269,918,-1
271,918,1
8,919,-1
9,919,1
269,919,-1
389,919,1
4,920,1
8,920,-1
159,920,1
160,920,1
269,920,-1
9,921,1
159,921,1
160,921,1
270,921,-1
4,922,1
271,922,-1
390,922,1
8,923,-1
9,923,1
271,923,-1
391,923,1
8,924,-1
9,924,1
271,924,1
272,924,-1
8,925,-1
9,925,1
11,925,1
159,925,1
273,925,-1
8,926,1
9,926,1
11,926,1
159,926,1
274,926,-1
8,927,-1
165,927,1
274,927,-1
4,928,1
165,928,1
275,928,-1
4,929,1
8,929,-1
11,929,2
159,929,1
275,929,-1
11,930,-1
168,930,1
276,930,-1
3,931,-1
4,931,1
168,931,1
276,931,-1
4,932,-1
5,932,1
168,932,1
276,932,-1
16,933,-1
17,933,1
168,933,1
276,933,-1
12,934,1
168,934,1
276,934,-1
276,935,-1
392,935,1
11,936,-1
159,936,1
277,936,-1
3,937,-1
4,937,1
159,937,1
277,937,-1
4,938,-1
5,938,1
159,938,1
277,938,-1
16,939,-1
17,939,1
159,939,1
277,939,-1
12,940,1
159,940,1
277,940,-1
9,941,1
11,941,2
278,941,-1
9,942,1
11,942,2
278,942,-1
8,943,1
11,943,1
278,943,-1
278,944,-1
393,944,1
8,945,1
279,945,-1
280,945,1
8,946,-1
169,946,1
279,946,-1
9,947,1
159,947,1
168,947,1
280,947,-1
8,948,-1
280,948,1
281,948,-1
8,949,-1
57,949,1
94,949,1
282,949,-1
8,950,1
89,950,1
282,950,-1
8,951,-1
231,951,1
283,951,-1
8,952,-1
284,952,-1
394,952,1
4,953,1
9,953,1
11,953,1
89,953,1
284,953,-1
4,954,1
8,954,1
9,954,-1
163,954,1
285,954,-1
2,955,1
9,955,-1
285,955,-1
395,955,1
9,956,-1
285,956,-1
396,956,1
3,957,-1
4,957,2
163,957,1
285,957,-1
4,958,-1
285,958,-1
397,958,1
4,959,2
5,959,-1
163,959,1
285,959,-1
4,960,1
163,960,1
285,960,-1
285,961,-1
395,961,1
8,962,-1
286,962,-1
398,962,1
9,963,2
11,963,1
244,963,1
286,963,-1
2,964,1
9,964,-1
287,964,-1
399,964,1
9,965,-1
287,965,-1
400,965,1
8,966,1
9,966,1
159,966,1
287,966,-1
3,967,-1
4,967,1
9,967,1
159,967,1
287,967,-1
4,968,-1
287,968,-1
401,968,1
4,969,1
5,969,-1
9,969,1
159,969,1
287,969,-1
287,970,-1
399,970,1
9,971,1
159,971,1
287,971,-1
9,972,-1
288,972,-1
402,972,1
8,973,1
9,973,1
89,973,1
288,973,-1
3,974,-1
4,974,1
9,974,1
89,974,1
288,974,-1
4,975,-1
288,975,-1
403,975,1
4,976,1
5,976,-1
9,976,1
89,976,1
288,976,-1
9,977,1
89,977,1
288,977,-1
8,978,1
289,978,-1
291,978,1
8,979,-1
182,979,1
289,979,-1
8,980,1
289,980,-1
290,980,1
9,981,1
290,981,-1
291,981,1
4,982,1
22,982,1
184,982,1
290,982,-1
5,983,-1
14,983,1
291,983,-1
404,983,1
8,984,-1
291,984,-1
404,984,1
4,985,1
291,985,-1
405,985,1
4,986,1
8,986,-1
163,986,1
292,986,-1
8,987,1
159,987,1
293,987,-1
8,988,-1
183,988,1
293,988,-1
8,989,1
293,989,-1
294,989,1
4,990,1
22,990,1
184,990,1
294,990,-1
9,991,1
159,991,1
294,991,-1
4,992,1
8,992,-1
295,992,-1
303,992,1
9,993,-1
296,993,-1
323,993,1
3,994,-1
4,994,1
296,994,-1
406,994,1
4,995,1
5,995,-1
296,995,-1
406,995,1
168,996,1
296,996,-1
296,997,-1
406,997,1
160,998,1
296,998,-1
11,999,-1
184,999,1
297,999,-1
3,1000,-1
4,1000,1
184,1000,1
297,1000,-1
4,1001,-1
5,1001,1
184,1001,1
297,1001,-1
16,1002,-1
17,1002,1
184,1002,1
297,1002,-1
12,1003,1
184,1003,1
297,1003,-1
188,1004,1
297,1004,-1
8,1005,1
163,1005,1
298,1005,-1
8,1006,-1
186,1006,1
298,1006,-1
8,1007,1
298,1007,-1
299,1007,1
9,1008,1
22,1008,1
184,1008,1
299,1008,-1
8,1009,-1
9,1009,1
163,1009,1
300,1009,-1
8,1010,-1
9,1010,1
300,1010,-1
303,1010,1
8,1011,1
301,1011,-1
303,1011,1
8,1012,-1
187,1012,1
301,1012,-1
8,1013,1
301,1013,-1
302,1013,1
9,1014,1
22,1014,1
184,1014,1
302,1014,-1
5,1015,-1
14,1015,1
303,1015,-1
407,1015,1
8,1016,-1
303,1016,-1
407,1016,1
9,1017,2
11,1017,1
184,1017,1
303,1017,-1
9,1018,1
94,1018,1
304,1018,-1
8,1019,-1
94,1019,1
304,1019,-1
9,1020,-1
305,1020,-1
408,1020,1
8,1021,1
9,1021,1
89,1021,1
305,1021,-1
3,1022,-1
4,1022,1
9,1022,1
89,1022,1
305,1022,-1
4,1023,-1
305,1023,-1
409,1023,1
4,1024,1
5,1024,-1
9,1024,1
89,1024,1
305,1024,-1
9,1025,1
89,1025,1
305,1025,-1
8,1026,-1
306,1026,-1
410,1026,1
4,1027,1
94,1027,1
168,1027,1
306,1027,-1
9,1028,1
11,1028,2
94,1028,1
307,1028,-1
94,1029,1
278,1029,1
307,1029,-1
5,1030,-1
11,1030,2
14,1030,1
94,1030,1
307,1030,-1
8,1031,-1
11,1031,2
94,1031,1
307,1031,-1
2,1032,1
9,1032,-1
308,1032,-1
411,1032,1
9,1033,-1
308,1033,-1
412,1033,1
8,1034,1
9,1034,1
11,1034,1
22,1034,1
308,1034,-1
3,1035,-1
4,1035,1
9,1035,1
11,1035,1
22,1035,1
308,1035,-1
4,1036,-1
308,1036,-1
413,1036,1
4,1037,1
5,1037,-1
9,1037,1
11,1037,1
22,1037,1
308,1037,-1
308,1038,-1
411,1038,1
9,1039,1
11,1039,1
22,1039,1
308,1039,-1
309,1040,-1
414,1040,1
160,1041,1
309,1041,-1
9,1042,1
266,1042,1
309,1042,-1
8,1043,1
11,1043,1
266,1043,1
309,1043,-1
9,1044,1
11,1044,1
266,1044,1
310,1044,-1
5,1045,-1
11,1045,1
14,1045,1
266,1045,1
310,1045,-1
8,1046,-1
11,1046,1
266,1046,1
310,1046,-1
9,1047,-1
311,1047,-1
415,1047,1
3,1048,-1
311,1048,-1
416,1048,1
3,1049,-1
4,1049,1
311,1049,-1
417,1049,1
4,1050,1
5,1050,-1
311,1050,-1
417,1050,1
311,1051,-1
418,1051,1
311,1052,-1
417,1052,1
311,1053,-1
419,1053,1
9,1054,-1
312,1054,-1
420,1054,1
3,1055,-1
4,1055,1
312,1055,-1
421,1055,1
4,1056,1
5,1056,-1
312,1056,-1
421,1056,1
312,1057,-1
422,1057,1
312,1058,-1
419,1058,1
312,1059,-1
421,1059,1
8,1060,-1
9,1060,1
313,1060,-1
423,1060,1
9,1061,-1
314,1061,-1
424,1061,1
3,1062,-1
314,1062,-1
425,1062,1
3,1063,-1
4,1063,1
314,1063,-1
426,1063,1
4,1064,1
5,1064,-1
314,1064,-1
426,1064,1
314,1065,-1
426,1065,1
8,1066,1
11,1066,1
198,1066,1
314,1066,-1
315,1067,-1
427,1067,1
4,1068,1
8,1068,1
168,1068,1
315,1068,-1
316,1069,-1
428,1069,1
8,1070,1
9,1070,1
89,1070,1
316,1070,-1
5,1071,-1
14,1071,1
317,1071,-1
429,1071,1
8,1072,-1
317,1072,-1
429,1072,1
4,1073,1
317,1073,-1
406,1073,1
8,1074,1
11,1074,1
318,1074,-1
320,1074,1
8,1075,2
22,1075,1
318,1075,-1
430,1075,1
8,1076,1
9,1076,1
11,1076,1
318,1076,-1
320,1076,1
8,1077,2
89,1077,1
318,1077,-1
323,1077,1
8,1078,1
89,1078,1
319,1078,-1
323,1078,1
8,1079,1
320,1079,-1
431,1079,1
8,1080,1
320,1080,-1
362,1080,1
8,1081,1
94,1081,1
320,1081,-1
323,1081,1
8,1082,1
94,1082,1
320,1082,-1
323,1082,1
8,1083,2
22,1083,1
89,1083,1
320,1083,-1
2,1084,-1
166,1084,1
321,1084,-1
432,1084,1
2,1085,-1
168,1085,1
321,1085,-1
433,1085,1
8,1086,-1
321,1086,-1
434,1086,1
8,1087,1
94,1087,1
168,1087,1
321,1087,-1
173,1088,1
322,1088,-1
8,1089,1
11,1089,1
94,1089,1
322,1089,-1
8,1090,1
168,1090,1
323,1090,-1
8,1091,-1
296,1091,1
323,1091,-1
8,1092,1
323,1092,-1
406,1092,1
8,1093,1
9,1093,1
11,1093,1
22,1093,1
323,1093,-1
8,1094,2
168,1094,1
324,1094,-1
8,1095,1
11,1095,1
195,1095,1
325,1095,-1
8,1096,1
325,1096,-1
435,1096,1
8,1097,1
9,1097,1
11,1097,1
195,1097,1
325,1097,-1
5,1098,-1
14,1098,1
326,1098,-1
436,1098,1
5,1099,-1
14,1099,1
326,1099,-1
437,1099,1
2,1100,-1
168,1100,1
322,1100,1
326,1100,-1
2,1101,-1
89,1101,1
166,1101,1
326,1101,-1
8,1102,-1
326,1102,-1
436,1102,1
8,1103,-1
326,1103,-1
438,1103,1
8,1104,-1
326,1104,-1
437,1104,1
9,1105,1
11,1105,1
326,1105,-1
436,1105,1
9,1106,1
11,1106,1
326,1106,-1
437,1106,1
326,1107,-1
439,1107,1
8,1108,-1
9,1108,1
195,1108,1
327,1108,-1
8,1109,1
9,1109,1
11,1109,1
89,1109,1
327,1109,-1
8,1110,1
9,1110,1
11,1110,1
163,1110,1
328,1110,-1
2,1111,1
9,1111,-1
328,1111,-1
440,1111,1
9,1112,-1
328,1112,-1
441,1112,1
3,1113,-1
4,1113,1
9,1113,1
11,1113,1
163,1113,1
328,1113,-1
4,1114,-1
328,1114,-1
442,1114,1
4,1115,1
5,1115,-1
9,1115,1
11,1115,1
163,1115,1
328,1115,-1
9,1116,1
11,1116,1
163,1116,1
328,1116,-1
9,1117,1
328,1117,-1
338,1117,1
328,1118,-1
440,1118,1
9,1119,-1
329,1119,-1
443,1119,1
3,1120,-1
329,1120,-1
444,1120,1
3,1121,-1
4,1121,1
329,1121,-1
445,1121,1
4,1122,1
5,1122,-1
329,1122,-1
445,1122,1
329,1123,-1
445,1123,1
8,1124,1
11,1124,1
177,1124,1
329,1124,-1
8,1125,-1
330,1125,-1
344,1125,1
8,1126,-1
329,1126,1
330,1126,-1
8,1127,-1
330,1127,-1
347,1127,1
8,1128,-1
330,1128,-1
446,1128,1
8,1129,-1
330,1129,-1
447,1129,1
4,1130,1
8,1130,1
11,1130,1
163,1130,1
331,1130,-1
4,1131,1
9,1131,1
163,1131,1
331,1131,-1
331,1132,-1
448,1132,1
292,1133,1
331,1133,-1
9,1134,-1
332,1134,-1
449,1134,1
3,1135,-1
332,1135,-1
450,1135,1
3,1136,-1
4,1136,1
332,1136,-1
451,1136,1
4,1137,1
5,1137,-1
332,1137,-1
451,1137,1
332,1138,-1
452,1138,1
332,1139,-1
451,1139,1
332,1140,-1
453,1140,1
9,1141,-1
333,1141,-1
454,1141,1
3,1142,-1
333,1142,-1
349,1142,1
3,1143,-1
4,1143,1
333,1143,-1
455,1143,1
333,1144,-1
355,1144,1
333,1145,-1
453,1145,1
333,1146,-1
455,1146,1
8,1147,-1
334,1147,-1
347,1147,1
8,1148,-1
9,1148,1
334,1148,-1
456,1148,1
8,1149,1
11,1149,1
335,1149,-1
337,1149,1
8,1150,2
22,1150,1
335,1150,-1
362,1150,1
8,1151,1
9,1151,1
11,1151,1
335,1151,-1
337,1151,1
8,1152,2
168,1152,1
335,1152,-1
339,1152,1
8,1153,1
168,1153,1
336,1153,-1
339,1153,1
8,1154,1
337,1154,-1
430,1154,1
8,1155,1
11,1155,1
337,1155,-1
339,1155,1
8,1156,1
337,1156,-1
430,1156,1
8,1157,1
9,1157,1
11,1157,1
337,1157,-1
339,1157,1
8,1158,2
22,1158,1
89,1158,1
337,1158,-1
2,1159,-1
322,1159,1
338,1159,-1
457,1159,1
2,1160,-1
89,1160,1
338,1160,-1
458,1160,1
8,1161,-1
338,1161,-1
459,1161,1
8,1162,1
9,1162,1
11,1162,1
89,1162,1
338,1162,-1
8,1163,-1
231,1163,1
339,1163,-1
8,1164,1
89,1164,1
339,1164,-1
8,1165,1
22,1165,1
94,1165,1
339,1165,-1
8,1166,1
265,1166,1
339,1166,-1
8,1167,2
89,1167,1
340,1167,-1
9,1168,-1
341,1168,-1
460,1168,1
3,1169,-1
4,1169,1
341,1169,-1
461,1169,1
4,1170,1
5,1170,-1
341,1170,-1
461,1170,1
341,1171,-1
461,1171,1
8,1172,1
9,1172,-1
94,1172,1
160,1172,1
342,1172,-1
2,1173,1
9,1173,-1
342,1173,-1
462,1173,1
9,1174,-1
342,1174,-1
463,1174,1
3,1175,-1
4,1175,1
94,1175,1
160,1175,1
342,1175,-1
4,1176,-1
342,1176,-1
464,1176,1
4,1177,1
5,1177,-1
94,1177,1
160,1177,1
342,1177,-1
9,1178,1
321,1178,1
342,1178,-1
94,1179,1
160,1179,1
342,1179,-1
342,1180,-1
462,1180,1
9,1181,-1
343,1181,-1
465,1181,1
3,1182,-1
4,1182,1
343,1182,-1
466,1182,1
3,1183,-1
343,1183,-1
467,1183,1
4,1184,1
5,1184,-1
343,1184,-1
466,1184,1
343,1185,-1
466,1185,1
9,1186,-1
344,1186,-1
468,1186,1
3,1187,-1
344,1187,-1
469,1187,1
3,1188,-1
4,1188,1
344,1188,-1
470,1188,1
4,1189,1
5,1189,-1
344,1189,-1
470,1189,1
344,1190,-1
470,1190,1
344,1191,-1
471,1191,1
8,1192,1
11,1192,1
196,1192,1
344,1192,-1
345,1193,-1
472,1193,1
4,1194,1
8,1194,1
200,1194,1
345,1194,-1
9,1195,-1
346,1195,-1
473,1195,1
3,1196,-1
346,1196,-1
450,1196,1
3,1197,-1
4,1197,1
346,1197,-1
474,1197,1
4,1198,1
5,1198,-1
346,1198,-1
474,1198,1
346,1199,-1
474,1199,1
346,1200,-1
475,1200,1
9,1201,-1
347,1201,-1
476,1201,1
3,1202,-1
4,1202,1
347,1202,-1
390,1202,1
4,1203,1
5,1203,-1
347,1203,-1
390,1203,1
347,1204,-1
390,1204,1
8,1205,1
348,1205,-1
350,1205,1
8,1206,-1
9,1206,1
348,1206,-1
477,1206,1
8,1207,-1
224,1207,1
348,1207,-1
4,1208,1
8,1208,-1
163,1208,1
317,1208,1
349,1208,-1
4,1209,1
8,1209,-1
349,1209,-1
355,1209,1
4,1210,1
8,1210,-1
22,1210,1
193,1210,1
349,1210,-1
8,1211,-1
9,1211,1
349,1211,-1
478,1211,1
8,1212,-1
9,1212,1
349,1212,-1
479,1212,1
9,1213,1
163,1213,1
317,1213,1
350,1213,-1
8,1214,-1
9,1214,1
351,1214,-1
480,1214,1
4,1215,1
8,1215,-1
307,1215,1
352,1215,-1
94,1216,1
352,1216,-1
429,1216,1
11,1217,-1
193,1217,1
353,1217,-1
3,1218,-1
4,1218,1
193,1218,1
353,1218,-1
4,1219,-1
5,1219,1
193,1219,1
353,1219,-1
16,1220,-1
17,1220,1
193,1220,1
353,1220,-1
12,1221,1
193,1221,1
353,1221,-1
8,1222,1
354,1222,-1
356,1222,1
8,1223,-1
9,1223,1
325,1223,1
354,1223,-1
4,1224,1
9,1224,1
163,1224,1
168,1224,1
355,1224,-1
8,1225,-1
355,1225,-1
481,1225,1
9,1226,1
163,1226,1
168,1226,1
356,1226,-1
8,1227,-1
356,1227,1
357,1227,-1
8,1228,-1
227,1228,1
358,1228,-1
8,1229,1
9,1229,1
37,1229,1
358,1229,-1
4,1230,1
8,1230,-1
11,1230,1
37,1230,1
359,1230,-1
4,1231,1
227,1231,1
359,1231,-1
8,1232,-1
230,1232,1
360,1232,-1
8,1233,1
231,1233,1
360,1233,-1
8,1234,1
231,1234,1
360,1234,-1
4,1235,1
8,1235,-1
11,1235,1
89,1235,1
361,1235,-1
4,1236,1
230,1236,1
361,1236,-1
8,1237,1
307,1237,1
362,1237,-1
8,1238,1
362,1238,-1
363,1238,1
8,1239,1
94,1239,1
168,1239,1
362,1239,-1
8,1240,1
9,1240,1
11,1240,1
89,1240,1
362,1240,-1
94,1241,1
168,1241,1
363,1241,-1
9,1242,1
11,1242,1
89,1242,1
363,1242,-1
8,1243,-1
231,1243,1
364,1243,-1
9,1244,1
11,1244,1
230,1244,1
365,1244,-1
5,1245,-1
11,1245,1
14,1245,1
230,1245,1
365,1245,-1
8,1246,-1
11,1246,1
230,1246,1
365,1246,-1
9,1247,-1
366,1247,-1
482,1247,1
3,1248,-1
4,1248,1
366,1248,-1
483,1248,1
4,1249,1
5,1249,-1
366,1249,-1
483,1249,1
366,1250,-1
483,1250,1
8,1251,1
11,1251,1
160,1251,1
366,1251,-1
310,1252,1
366,1252,-1
366,1253,-1
484,1253,1
2,1254,1
9,1254,-1
367,1254,-1
485,1254,1
9,1255,-1
367,1255,-1
486,1255,1
3,1256,-1
367,1256,-1
487,1256,1
3,1257,-1
4,1257,1
367,1257,-1
488,1257,1
4,1258,1
5,1258,-1
367,1258,-1
487,1258,1
367,1259,-1
485,1259,1
367,1260,-1
488,1260,1
367,1261,-1
484,1261,1
5,1262,-1
368,1262,-1
489,1262,1
2,1263,-1
22,1263,1
368,1263,-1
490,1263,1
8,1264,-1
368,1264,-1
491,1264,1
276,1265,1
369,1265,-1
22,1266,1
369,1266,-1
9,1267,2
11,1267,1
369,1267,-1
8,1268,1
9,1268,1
11,1268,2
369,1268,-1
9,1269,-1
370,1269,-1
492,1269,1
3,1270,-1
370,1270,-1
493,1270,1
3,1271,-1
4,1271,1
370,1271,-1
494,1271,1
4,1272,1
5,1272,-1
370,1272,-1
494,1272,1
370,1273,-1
495,1273,1
370,1274,-1
494,1274,1
370,1275,-1
496,1275,1
8,1276,1
22,1276,1
370,1276,-1
497,1276,1
8,1277,-1
256,1277,1
371,1277,-1
8,1278,1
371,1278,-1
372,1278,1
9,1279,1
11,1279,1
22,1279,1
372,1279,-1
