J_1,J_2,J_3,J_4,J_5,J_6,J_7,J_8,J_11,J_12,J_13,J_14,J_15,J_16,J_17,J_18,J_19,J_20,J_21,J_22,J_23,J_24,J_31,J_32,J_33,J_34,J_35,J_41,J_51,J_52,J_53,J_54,J_55,J_56,w_ap,t
1.1027777306731499e-14,6.189176081426679e-15,1.4290593990024019e-16,5.672946901059756e-15,0.0,2.4893324676395075e-12,2.857235754874955e-15,1.744422110714069e-17,3.744881254816704e-17,3.183710125814493e-17,5.904563800680198e-17,8.377783420971626e-17,1.2628654542830563e-17,6.013645020395505e-18,7.81839052710734e-17,4.686429023782045e-19,4.686429023782045e-19,2.403296935272833e-16,5.394857934016556e-17,5.0040916755866145e-18,3.3249906115856743e-18,3.3249906115856743e-18,1.5810491430420207e-17,9.576966724426652e-17,3.7144622420858366e-17,1.4280032600821323e-16,6.98938948610625e-16,5.5697111901380406e-18,2.6292502577393908e-17,3.3438034074873955e-18,3.084632752835203e-16,3.6811411213450125e-16,3.241204366642312e-17,1.082413240751491e-16,false,345.0
1.0971727224088744e-14,6.1857322472033785e-15,1.4180211647669552e-16,5.702144960547247e-15,0.0,2.4904802682069285e-12,2.7692626958736065e-15,1.749950697773318e-17,3.709537458207993e-17,3.1874134530465554e-17,5.661402437469549e-17,8.222823482112539e-17,1.2467387147304386e-17,5.936851022525885e-18,7.828923974498698e-17,4.706813621881859e-19,4.706813621881859e-19,2.413750575324023e-16,5.1817738738347936e-17,5.082558738182054e-18,3.3207289860254173e-18,3.3207289860254173e-18,1.5828597274527862e-17,9.592096195986606e-17,3.7108926777258374e-17,1.4077890035301803e-16,6.994312334151248e-16,5.546931348018572e-18,2.6340308478870146e-17,3.3135445646385e-18,3.033497769986743e-16,3.6195708107055845e-16,3.235112487887047e-17,1.0888638761230758e-16,false,360.0
1.2095207779119532e-14,6.309484960921885e-15,1.5505588327487347e-16,5.865611088159914e-15,0.0,2.492640497305864e-12,2.9530997992912016e-15,1.91408869502644e-17,3.9710119464751755e-17,3.3880635217779885e-17,6.029034545012798e-17,8.843428534286787e-17,1.342174224291976e-17,6.391305829961787e-18,8.479576056239668e-17,4.907469360855213e-19,4.907469360855213e-19,2.5166509542847163e-16,5.620081354676092e-17,5.4072873832197075e-18,3.653762871584676e-18,3.653762871584676e-18,1.7120449641418487e-17,9.853803919676461e-17,3.965801096659761e-17,1.5060901520650424e-16,7.012835152937694e-16,5.913906480677103e-18,2.888436430571546e-17,3.642573868304025e-18,3.2264498132356576e-16,3.848502076862562e-16,3.483770516282616e-17,1.1847250600620355e-16,false,375.0
1.0160517529182201e-14,6.093861990494391e-15,1.3002633919200338e-16,5.5886365932058974e-15,0.0,2.4875195661971884e-12,2.5901707978553794e-15,1.635809249486417e-17,3.5472056736426376e-17,3.064052132140583e-17,5.2955518802861016e-17,7.736551613821545e-17,1.2075575998806477e-17,5.750274285145951e-18,7.372025468777718e-17,4.568666007879961e-19,4.568666007879961e-19,2.3429056450666464e-16,4.8268770864602774e-17,4.777988930176768e-18,3.1611803916828523e-18,3.1611803916828523e-18,1.4961265562625937e-17,9.431507642101586e-17,3.5544085533827196e-17,1.3490890904847832e-16,6.976511376464381e-16,5.385063551667561e-18,2.462610397402143e-17,3.1667548744255508e-18,2.761323859128707e-16,3.299145736907125e-16,2.991526735999407e-17,1.0142199424749384e-16,false,390.0
1.0501512330490135e-14,6.1242578090054904e-15,1.3424096443302389e-16,5.636434554507388e-15,0.0,2.4848104228810493e-12,2.655638110469143e-15,1.6749924049071467e-17,3.585795912836678e-17,3.07804467643726e-17,5.413660826219747e-17,7.865662559505311e-17,1.2310315932335946e-17,5.862055205874247e-18,7.467554341988225e-17,4.575825542354529e-19,4.575825542354529e-19,2.34657720120745e-16,4.9562175981948134e-17,4.851694596705279e-18,3.2298598140857296e-18,3.2298598140857296e-18,1.5211068815918684e-17,9.475539901852648e-17,3.599460606157919e-17,1.3682575416882743e-16,6.977958031366215e-16,5.477188691254742e-18,2.5235330316968608e-17,3.2807586225413215e-18,2.832330592223197e-16,3.3794520563153327e-16,3.032332440635538e-17,1.0430239851346012e-16,false,405.0
1.0189404703650972e-14,6.086887844034554e-15,1.3122009513304403e-16,5.552674602718929e-15,0.0,2.4830160485268525e-12,2.5790997050020712e-15,1.635803722678467e-17,3.5436694385270174e-17,3.0376525620445737e-17,5.2165905627705555e-17,7.689081912070225e-17,1.211108504062166e-17,5.76718335267699e-18,7.373125372956955e-17,4.512573795006607e-19,4.512573795006607e-19,2.314140407695694e-16,4.748115598742774e-17,4.752520260403246e-18,3.1890078092444483e-18,3.1890078092444483e-18,1.4955485868888875e-17,9.404294129274716e-17,3.548686625240725e-17,1.357554123512641e-16,6.965631835030148e-16,5.402921430570928e-18,2.463957786646925e-17,3.2329713741994618e-18,2.7094605114581195e-16,3.2316964190037987e-16,2.99685022888319e-17,1.0302061859340333e-16,false,420.0
1.190419139599908e-14,6.268360733504586e-15,1.5142798454707092e-16,5.6546791701623886e-15,0.0,2.480478571203204e-12,2.7344226293868345e-15,1.9428922593649125e-17,3.743015952481433e-17,3.206994814026565e-17,5.770356267196556e-17,8.390826296626736e-17,1.2987825738882672e-17,6.184678923277468e-18,7.963341224127383e-17,4.703192561707634e-19,4.703192561707634e-19,2.411893621388522e-16,5.415334600909287e-17,5.130175503182015e-18,3.542701652099461e-18,3.542701652099461e-18,1.6471762297905567e-17,9.632637873584006e-17,3.789296998057265e-17,1.4138145033786558e-16,6.973325355057514e-16,5.7377195579559294e-18,2.9667881230125114e-17,3.544428711969571e-18,2.972983292380289e-16,3.5394416011268033e-16,3.1823340255313514e-17,1.2150361649392412e-16,false,435.0
1.0591650704460633e-14,6.112848793791012e-15,1.3564909195968457e-16,5.487686460595848e-15,0.0,2.4735953376433753e-12,2.5594471525980818e-15,1.7207387569847204e-17,3.392550283295168e-17,2.959931326364858e-17,5.032793388034797e-17,7.383432957627772e-17,1.1738899765566657e-17,5.589952269317449e-18,7.041430615217912e-17,4.474557527924391e-19,4.474557527924391e-19,2.294644886115074e-16,4.789981382328325e-17,4.649533671377467e-18,3.138506695781868e-18,3.138506695781868e-18,1.4702297901329512e-17,9.290817059132651e-17,3.447390413228792e-17,1.3354986871921416e-16,6.93694850637637e-16,5.234207722383731e-18,2.628639375589424e-17,3.018932670744464e-18,2.714894674047457e-16,3.2364169314403734e-16,2.7952260792109006e-17,1.0788945475134212e-16,false,450.0
1.1198000209302432e-14,6.160874706750406e-15,1.4364790798819696e-16,5.493290951195915e-15,0.0,2.4644545962691544e-12,2.6357649180158692e-15,1.8216068052538617e-17,3.477005942811807e-17,3.018664997759148e-17,5.367376750706664e-17,7.729205489079397e-17,1.1938911012880456e-17,5.6851957204192666e-18,7.32023827590845e-17,4.537503820165553e-19,4.537503820165553e-19,2.326925035982345e-16,5.05055173927401e-17,4.805416685814219e-18,3.2857273576278628e-18,3.2857273576278628e-18,1.531821902974482e-17,9.36102043556509e-17,3.5453782330365014e-17,1.3595030747277255e-16,6.924369793062753e-16,5.341433543692399e-18,2.7836116729844955e-17,3.1467789994860694e-18,2.8317754593314105e-16,3.374204010749706e-16,2.896088233370917e-17,1.13073546779312e-16,false,465.0
1.189535890792333e-14,6.2041819714600106e-15,1.510749410636039e-16,5.526387714565366e-15,0.0,2.4484576725350104e-12,2.759518840555382e-15,1.9283893107508193e-17,3.6442578425011665e-17,3.1619648900067936e-17,5.694952937713005e-17,8.272853963693397e-17,1.2449234571283534e-17,5.9282069387064516e-18,7.879146560364204e-17,4.642391365516872e-19,4.642391365516872e-19,2.380713520777871e-16,5.3800454614412405e-17,5.028901768958039e-18,3.495950211331415e-18,3.495950211331415e-18,1.6246264726436914e-17,9.489667886942277e-17,3.722268459391533e-17,1.4128296551479279e-16,6.900156406647288e-16,5.528691732296834e-18,2.9451840301003626e-17,3.2994239654484295e-18,3.120291392479382e-16,3.708351421814901e-16,3.177713813374463e-17,1.203112853550472e-16,false,480.0
1.2777207481588128e-14,6.270172275043248e-15,1.6295998981849173e-16,5.534411228395368e-15,0.0,2.4349042104461227e-12,2.9313244329863088e-15,2.0732344384104324e-17,3.787795060584745e-17,3.24482488218365e-17,6.263229705216077e-17,8.837146029151309e-17,1.2828970816905306e-17,6.109033722335878e-18,8.266705919169854e-17,4.660641047074628e-19,4.660641047074628e-19,2.3900723318331375e-16,5.936873495670526e-17,5.092918346406854e-18,3.666745134012107e-18,3.666745134012107e-18,1.7099501102300088e-17,9.568182481971446e-17,3.852512885300409e-17,1.4749891385658423e-16,6.879658144333718e-16,5.659525131761618e-18,3.174447421467516e-17,3.4559951344510927e-18,3.1697303353632706e-16,3.77188690991542e-16,3.3472246859203086e-17,1.267637516423175e-16,false,495.0
1.3202581955926436e-14,6.279007008834539e-15,1.6971008011509292e-16,5.450908777912648e-15,0.0,2.4153446187232266e-12,2.9854266575021113e-15,2.1118044190415148e-17,3.7884673104754534e-17,3.246455553557824e-17,6.226659261412793e-17,8.77071594651632e-17,1.2684916211853763e-17,6.0404362913589275e-18,8.202662484247573e-17,4.665887718092574e-19,4.665887718092574e-19,2.3927629323551497e-16,5.995787393198837e-17,5.145624734878608e-18,3.674598739459293e-18,3.674598739459293e-18,1.7085689385616913e-17,9.486092457160422e-17,3.8236769298627586e-17,1.4892724869116164e-16,6.834835445308536e-16,5.581691981966102e-18,3.243405969906193e-17,3.3684421657851624e-18,3.355842182667347e-16,3.989151588063343e-16,3.294650015220652e-17,1.3046161204905213e-16,false,510.0
1.4634863675462808e-14,6.39723148853907e-15,1.8659054616906937e-16,5.517641037891482e-15,0.0,2.397372318728513e-12,3.2421186125878457e-15,2.3197276405544145e-17,4.066596934682021e-17,3.439012379541082e-17,6.68545257489237e-17,9.474688729486675e-17,1.3518014306459465e-17,6.4371496697425905e-18,8.889522651863536e-17,4.836727946417327e-19,4.836727946417327e-19,2.480373305855041e-16,6.634460786562033e-17,5.479133303933525e-18,3.9696478931159715e-18,3.9696478931159715e-18,1.8449047829698162e-17,9.670947252854581e-17,4.063830992009941e-17,1.5909216313728537e-16,6.812811591906757e-16,5.865894493886343e-18,3.5728851379494446e-17,3.61498909134635e-18,3.796030239420465e-16,4.515711309290983e-16,3.616629023773653e-17,1.4170512762422824e-16,false,525.0
1.576619546220262e-14,6.432087858145962e-15,2.0534435640752056e-16,5.536708412497956e-15,0.0,2.3542059465148954e-12,3.5045174661804673e-15,2.453936482633499e-17,4.17841449275569e-17,3.517749724050144e-17,7.194295892630089e-17,9.964433071484467e-17,1.3695300289067125e-17,6.521571566222429e-18,9.208570253673112e-17,4.913450573815729e-19,4.913450573815729e-19,2.519718242982432e-16,7.193910601686381e-17,5.7178965244216364e-18,4.112323720034573e-18,4.112323720034573e-18,1.91284534345683e-17,9.693676204788046e-17,4.1595325734171734e-17,1.6662217690855924e-16,6.753194196396812e-16,5.900362356554425e-18,3.786501836408921e-17,3.621351427257242e-18,4.1163903220445375e-16,4.892464561335943e-16,3.716183548999111e-17,1.490631981098653e-16,false,540.0
1.8852765897034107e-14,6.706048105132021e-15,2.511681869822791e-16,5.7823122023033e-15,0.0,2.325168078616677e-12,4.058243085495097e-15,2.881231652940592e-17,4.773204000118856e-17,3.919415891142938e-17,8.546721804531301e-17,1.1720653674546176e-16,1.552977071656634e-17,7.395128912650615e-18,1.0741104597723035e-16,5.253059197287364e-19,5.253059197287364e-19,2.693876511429421e-16,8.578036468855676e-17,6.524012527423408e-18,4.7543943669317665e-18,4.7543943669317665e-18,2.2075627894672162e-17,1.0148755279249157e-16,4.6917895902495644e-17,1.8742630029564731e-16,6.731287824384616e-16,6.572604609276052e-18,4.459461853135238e-17,4.259532360126561e-18,4.910511602436088e-16,5.829998935614949e-16,4.240030384447615e-17,1.7376016857788774e-16,false,555.0
2.1771409099219066e-14,6.9883302015105594e-15,2.938222677214622e-16,6.00790458334842e-15,0.0,2.3101320507673974e-12,4.5926327300873444e-15,3.267476533202928e-17,5.2644114083196563e-17,4.2724403070552577e-17,9.710084060185254e-17,1.3258431163877517e-16,1.700087080415411e-17,8.095652763882849e-18,1.2101224358071983e-16,5.558826495811755e-19,5.558826495811755e-19,2.8506802542624465e-16,9.896563384070777e-17,7.31766147798783e-18,5.3245981140051376e-18,5.3245981140051376e-18,2.465625158608648e-17,1.055422673085547e-16,5.1463110890006946e-17,2.0721660624584954e-16,6.733970401496662e-16,7.092081331731088e-18,5.0661812780533896e-17,4.7134008935508616e-18,5.743263549611452e-16,6.817150726522412e-16,4.7786251896125534e-17,1.9565897905594335e-16,false,570.0
2.3665682677812084e-14,7.173857538601879e-15,3.2476282103161565e-16,6.239487674628747e-15,0.0,2.3034461202152574e-12,5.181484517453465e-15,3.396159678181234e-17,5.666316176335828e-17,4.538192989644762e-17,1.0827028021715421e-16,1.4517094611970644e-16,1.8202371791557138e-17,8.667796091217695e-18,1.3055749982277096e-16,5.827098409256055e-19,5.827098409256055e-19,2.9882555944902807e-16,1.0992623264342229e-16,7.96921725563364e-18,5.6952021327395485e-18,5.6952021327395485e-18,2.6235880383485677e-17,1.085729442485682e-16,5.479734273407058e-17,2.228034562319026e-16,6.737365476533116e-16,7.506945415735767e-18,5.245323457980309e-17,5.062758627520903e-18,6.541675536508121e-16,7.76731887543194e-16,5.179562050585899e-17,2.046385827789284e-16,false,585.0
2.558646246119682e-14,7.368860004087777e-15,3.523439627620922e-16,6.248626917837624e-15,0.0,2.2959085358679444e-12,5.397745647041673e-15,3.703973923590715e-17,5.802530801556445e-17,4.631458000645952e-17,1.1338759664598995e-16,1.5040848680018706e-16,1.8511535693257594e-17,8.815016996789295e-18,1.342194065403165e-16,5.867475827235626e-19,5.867475827235626e-19,3.0089619626849303e-16,1.1714852813298037e-16,8.123168334531012e-18,5.9711061812836e-18,5.9711061812836e-18,2.7370431327319488e-17,1.0949425954206444e-16,5.611669651638646e-17,2.30782301466555e-16,6.723004532358051e-16,7.593467334128114e-18,5.760985912600121e-17,5.133404762453539e-18,6.969091170710205e-16,8.265837038075889e-16,5.3157141828807646e-17,2.22742997915402e-16,false,600.0
